smiles,label_3cl,label_cell
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,1.0,0.0
COc1ccc2cc(CCC(C)=O)ccc2c1,0.0,1.0
O=C(O)c1ccc(N2C(=O)C(=Cc3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1,1.0,0.0
CC1=CC(=O)c2ccccc2C1=O,1.0,0.0
CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,0.0,1.0
OC(COc1ccc(Nc2ccccc2)cc1)COc1ccc(Nc2ccccc2)cc1,1.0,1.0
Cc1ccc(C(=O)n2nc(-c3cccnc3)nc2N)cc1,1.0,0.0
CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(=O)C(NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,1.0,1.0
CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,1.0,0.0
O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,1.0,0.0
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,1.0,0.0
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0.0,1.0
COC(=O)C[C@@](O)(CCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@@H]13)OCO4,0.0,1.0
CCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccccn1,1.0,1.0
Cl.Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,0.0,1.0
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,0.0,1.0
Cc1ccccc1N(C(=O)CNC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)[C@H](C=O)C[C@@H]1CCNC1=O,1.0,0.0
O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,1.0,0.0
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,1.0,0.0
CC(=O)O/N=C1/C(=O)N(Cc2cc(Cl)ccc2Cl)c2ccc(Cl)cc21,1.0,0.0
O=c1c2ccccc2[se]n1-c1ccccc1,1.0,1.0
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,1.0,0.0
N#CSc1cc(SC#N)c(N)nc1N,1.0,1.0
O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21.[Cl-],1.0,0.0
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,1.0,0.0
CN(C)c1cccc(C=CC(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)c1,1.0,0.0
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,1.0,0.0
CC1(C)[C@H]2CN(C(=O)COc3ccc(Cl)cc3Cl)[C@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3O)[C@H]21,1.0,1.0
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,0.0,1.0
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,1.0,0.0
Nc1nc(=S)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,1.0,1.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/c1ccc(Cl)cc1F,1.0,1.0
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,1.0,0.0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,1.0,0.0
CS/C(N)=C(C#N)/C(C#N)=C(\N)SC,1.0,0.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)COc1ccc2c(c1)OCCO2,1.0,0.0
CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,0.0,1.0
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,1.0,0.0
O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,0.0,1.0
CCN(CC)C(=S)[S-],1.0,0.0
Cc1cc(Cl)ccc1OCC(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,1.0,1.0
O=C(O)CCCCCCCCCCCCCCc1ccc(I)cc1,1.0,0.0
CCC(C)SSc1ncc[nH]1,1.0,0.0
O=C(/C=C/c1ccccc1)N[C@@H](CC1CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCc1ccccc1,1.0,1.0
C/C(=N\NC(=S)N1CCC1)c1ccccn1,0.0,1.0
O=C1C=CC(=O)C2=C1C1c3ccccc3C2c2ccccc21,1.0,0.0
FC(F)(F)Oc1ccc2nc(-c3ccc(OCCOCCOc4ccc(-c5nc6ccc(OC(F)(F)F)cc6[nH]5)nc4)cn3)[nH]c2c1,0.0,1.0
CC[PH](CC)(CC)[Au+][SH-][C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,1.0,0.0
CC(=O)[O-].CC(=O)[O-].N.NC1CCCCC1.[Cl-].[Cl-].[Pt+4],1.0,0.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)COc1ccc(Cl)cc1,1.0,1.0
CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O,1.0,1.0
S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,0.0,1.0
CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O.[C-]#N.[Co+3],1.0,0.0
CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,0.0,1.0
CC(=O)O[Hg]c1ccccc1,1.0,0.0
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,1.0,0.0
CCCc1cc(C(N)=S)ccn1,0.0,1.0
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1.0,0.0
COc1ccc2c(c1)nc(S(=O)Cc1ncc(C)c(OC)c1C)n2[Mg]n1c(S(=O)Cc2ncc(C)c(OC)c2C)nc2cc(OC)ccc21,1.0,0.0
COc1ccc(OC(C)C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)cc1,1.0,0.0
N[Pt](N)(Cl)Cl,1.0,0.0
COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2n1,1.0,0.0
CCOc1cc(C(Nc2cc(C)ccn2)c2ccc3cccnc3c2O)ccc1OC,1.0,0.0
CCOC(=O)Cc1ccc(-c2ccccc2)cc1,1.0,0.0
O=C(/C=C/c1ccc2ccccc2n1)c1ccncc1,1.0,0.0
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],1.0,1.0
COC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)OC)C(=O)CF)C(C)C,1.0,0.0
CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(C=O)CC1CCNC1=O,1.0,1.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1.0,0.0
O=C(O)/C(S)=C/c1ccc(I)cc1,1.0,0.0
O=C(O)C(O)Cc1ccc(O)c(O)c1,1.0,0.0
CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc3c(c2)OCCO3)cc1,0.0,1.0
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1.0,0.0
CCCCCCCCCCCCCCCCCC[S+](CCC)c1ccccc1C(=O)OCC,0.0,1.0
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5C=C)C(C)=C4CCC(=O)O)c(CCC(=O)O)c3C.[Fe+3],1.0,0.0
O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)CS(=O)(=O)C/C1=C\c1ccc([N+](=O)[O-])cc1,1.0,0.0
c1cc[n+]2c(c1)S[Zn]1(O2)O[n+]2ccccc2S1,1.0,0.0
CC(C)(C)c1ccc(S(=O)(=O)/C=C/C#N)cc1,1.0,0.0
O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C(OC(=O)c2cc(O)c(O)c(O)c2)C1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1.0,1.0
COc1ccc(C(=O)n2nc(-c3ccccc3)nc2N)cc1OC,1.0,0.0
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,1.0,0.0
NC(=O)c1nnn(Cc2cc(Cl)c(C(=O)c3ccc(Cl)cc3)c(Cl)c2)c1N,0.0,1.0
NC(Cc1ccc(O)c(O)c1)C(=O)O,1.0,0.0
CN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)CC1,1.0,0.0
O=C1C(Cl)=C(NCCN2CCOCC2)C(=O)c2ncccc21,1.0,1.0
COc1cc(C(=S)N2CCOCC2)ccc1O,1.0,0.0
Nc1ccc2cc3ccc(N)cc3nc2c1,1.0,0.0
CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,1.0,0.0
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,0.0,1.0
CC(C)(C)NC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,1.0,1.0
Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,1.0,0.0
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,1.0,0.0
CN(C)CCNc1nc2cc(O)ccc2c2c1C(=O)c1ccccc1-2,1.0,0.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)c1cc2ccccn2n1,1.0,0.0
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,1.0,0.0
O=C(/C=C/c1ccccc1)N[C@@H](CC1CCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCc1ccccc1,1.0,1.0
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])OCc1ccccc1.[Na+],1.0,1.0
O=c1c2ccccc2sn1-c1ccccc1,1.0,0.0
Cc1[nH]c(C=C2C(=O)Nc3cc(-c4ccccc4)ccc32)c(C)c1CCC(=O)O,1.0,0.0
O=C(O)c1ccc(SSc2ccc(C(=O)O)cn2)nc1,1.0,0.0
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,0.0,1.0
CCc1ccc(/C=C/C(=O)Nc2ccc(C(C)=O)cc2)o1,1.0,0.0
CN1C(=O)C(N2CCCCC2)S/C1=C\C(=O)O,1.0,0.0
O=C(O)c1cc(O)c2c(c1)C([C@@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O,1.0,0.0
CC1(C)[C@H]2CN(C(=O)COc3ccc4ccccc4c3)[C@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)[C@H]21,1.0,0.0
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1.0,0.0
COc1ccc(/C=C/C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)c(OC)c1,1.0,0.0
CN(C)C(=S)SSC(=S)N(C)C,1.0,0.0
O=C1OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br,1.0,0.0
O=C(O)[C@H](S)[C@H](S)C(=O)O,1.0,0.0
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0.0,1.0
CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,1.0,1.0
CC1(C)[C@H]2CN(C(=O)COc3ccc(Cl)cc3)[C@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)[C@H]21,1.0,1.0
Cc1cc(-c2ncc(CC(=O)Nc3ccc(-c4cnccn4)cn3)cc2C)ccn1,0.0,1.0
OC[C@H]1OC(S[Au])[C@H](O)[C@@H](O)[C@@H]1O,1.0,0.0
O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,1.0,0.0
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.0,1.0
CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1.0,1.0
CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1.0,0.0
CN(C)S(=O)(=O)c1cccc(-n2sc3ccccc3c2=O)c1,1.0,0.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)COc1ccc(Cl)cc1Cl,1.0,1.0
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,1.0,0.0
O=C(/C=C/c1ccccc1)N[C@@H](CC1CCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCc1ccccc1,1.0,1.0
COc1cc(N(C)C)cc(CN(C)CCc2ccc([N+](=O)[O-])cc2)c1O,1.0,0.0
C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O,1.0,0.0
CC1(C)[C@H]2CN(C(=O)COc3cccc(C(F)(F)F)c3)[C@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)[C@H]21,1.0,1.0
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,1.0,0.0
C/C=C/c1ccc(OC)cc1,0.0,1.0
COC(=O)/C=C/c1cc(O)ccc1O,1.0,0.0
Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,0.0,1.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)c1cc2ccccc2[nH]1,1.0,1.0
COc1cccc(C(=O)CCN[C@@H](C)[C@H](O)c2ccccc2)c1,1.0,0.0
CSCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,1.0,1.0
Nc1ccc(S(=O)(=O)N([Ag])c2ncccn2)cc1,1.0,0.0
Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])o2)cc1,1.0,0.0
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,1.0,0.0
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,1.0,1.0
O=[N+]([O-])C(Br)(CO)CO,1.0,0.0
CC(C)C(=O)c1c(C(C)C)nn2ccccc12,0.0,1.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)c1cc2ccccc2[nH]1,1.0,0.0
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1,1.0,1.0
Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,1.0,0.0
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,0.0,1.0
O=C[C@H](C[C@@]1(C=O)CCNC1)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)/C=C/c1ccccc1,1.0,0.0
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1.[Na+],0.0,1.0
CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,1.0,0.0
Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,1.0,0.0
C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,0.0,1.0
O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21,1.0,0.0
CC(C)(C)OC(=O)Nc1cccn([I](CC2CC2)C(=O)N[C@@H](C[C@@H]2CCNC2O)C(=O)C(=O)NCc2ccccc2)c1=O,1.0,1.0
O=c1[nH]nc(Sc2ncc([N+](=O)[O-])s2)n1-c1ccc2c(c1)OCCO2,1.0,0.0
Cc1nn(C)c2nc(NNC(=O)Nc3cc(Cl)nc(Cl)c3)cc(C(C)C)c12,0.0,1.0
C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21,1.0,0.0
O=S(c1ccccc1)c1ccc2nnnn2n1,1.0,0.0
O=C(CCl)c1ccccc1,1.0,0.0
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,1.0,0.0
COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],1.0,0.0
C/C=C(\N[C@H](C=O)C[C@@H]1CCNC1=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)c1ccc3ccccc3c1)C2(C)C,1.0,0.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,1.0,0.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)CCc1cccc(F)c1,1.0,1.0
Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,1.0,0.0
CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,1.0,0.0
S=c1nn[nH]n1-c1ccccc1,1.0,0.0
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(C=O)Cc1ccccc1,0.0,1.0
CC(C)C[C@H](NC(=O)/C=C/c1ccccc1)C(=O)NC(C[C@@H]1CCNC1O)C(=O)C(=O)NCc1ccccc1,1.0,1.0
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,0.0,1.0
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0.0,1.0
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.0,1.0
CC1C(C(=O)COc2ccc(F)c(F)c2)CC[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C=O)C[C@@H]1CCN(C)C1=O)C2(C)C,1.0,1.0
C=CCn1ccc2c(C(=O)Oc3cncc(Cl)c3)cccc21,1.0,1.0
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)COc1ccc(Cl)c(Cl)c1,1.0,1.0
Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,1.0,0.0
O=C1C=Cc2cc(Br)ccc2C1=O,1.0,0.0
