smiles,label_p53ts,label_cell
Br.COc1cccc(C(=O)Cn2c(=N)n(C)c3ccccc32)c1,1,1
Cc1nc2cc(NCc3nc4ccccc4n3Cc3ccccc3)ccc2n1C,1,1
c1ccc(-c2ccc(-c3ccccn3)nn2)nc1,1,1
CC(C)CNC(=O)NC1C(NC(=O)NCC(C)C)N(C)C(=O)N1C,1,1
O=C1NCCCC2c3cc(O)c4ccccc4c3OC12N1CCCCC1,1,1
Cc1ccc(-c2nc(-c3ccccn3)no2)cc1Cl,1,1
c1ccc(-n2nnc3c(N4CCOCC4)ncnc32)cc1,1,1
COc1ccc(-n2ncc3c(NC(C)C)ncnc32)cc1,1,1
Cn1c(NC(=O)c2ccccc2NC(=O)c2ccco2)nc2ccccc21,1,1
Cc1ccc(-c2nc3nc4ccccc4nc3n2Cc2ccco2)cc1,1,1
CCC(=O)NC(=Nc1nc2ccccc2s1)NC(=O)CC,1,1
CCCCCCn1c(O)c(C=NC2CCCCC2N)c(=O)[nH]c1=O,1,1
CCOC(=O)c1cnc(-n2nc(C)cc2C)nc1N(C)C,1,1
Fc1ccccc1CSc1ncnc2c1oc1ccccc12,1,1
C(=C/c1ccccc1)\CN1CCN(c2ncnc3c2oc2ccccc23)CC1,1,1
Cc1cc(C)n(-c2ccc(C(=O)Nc3ccccn3)cc2)n1,1,1
COc1ccc(-c2cc(C(N)=O)nc(N3CCCCCC3)n2)cc1,1,1
CCOC(=O)c1ccc(OCC(=O)c2ccc(O)cc2O)cc1,1,1
Cn1c(-c2ccc(Br)o2)nc2ccccc21,1,1
CN(C)c1ccc(/C=c2\sc3n(c2=O)CCCN=3)cc1,1,1
COC(=O)Nc1nnc(-c2ccccc2Cl)s1,1,1
Cc1cc(NCCCn2ccnc2)n2ncc(-c3ccccc3)c2n1,1,1
O=C(Nc1ccc2c(c1)nc1n2CCSC1)c1ccco1,1,1
O=C(Nc1ccc2c(c1)nc1n2CCOC1)c1ccccc1,1,1
O=C1C(c2ccncc2)=C(O)c2ccccc21,1,1
CCOC(=O)c1ccc(NC(=O)CC2SCCNC2=O)cc1,1,1
Cc1nc2nc(-c3ccccc3)cc(=O)n2[nH]1,1,1
COc1ccc(C(=O)Nc2ccc3c(c2)nc2n3CCSC2)cc1,1,1
COC(=O)c1ccc(OCC(=O)c2ccc(O)cc2O)cc1,1,1
COc1ccccc1C(=O)Nc1ccc2c(c1)nc1n2CCSC1,1,1
N#Cc1cc2c(nc1SCc1nc3ccccc3[nH]1)CCC2,1,1
O=C(Nc1ccc2c(c1)nc1n2CCSC1)c1ccccc1,1,1
CCN1CCN(C(=O)c2cc3c(=O)n4ccccc4nc3n2Cc2ccccc2)CC1,1,1
COc1cc2c(cc1OC)CN(C(=O)CC1CC3CCC1C3)CC2,1,1
CCSc1nnc(NC(=O)c2ccccn2)s1,1,1
Br.Cc1ccc2nc(-c3ccccc3)cn2c1,1,1
CC(=O)Nc1cccc(NC(=O)c2cc3ccccc3o2)c1,1,1
COc1cc(C(=O)Nc2ccc3c(c2)OCCO3)ccc1OC(F)F,1,1
Cc1ccc(C(=O)Nc2sc3c(c2C(=O)O)CCCCC3)o1,1,1
Br.c1ccc(-c2cn3c4c(sc3n2)CCCC4)cc1,1,1
COc1ccc(-c2cn3cc(C)ccc3n2)cc1OC.Cl,1,1
COc1ccc(C(=O)N=c2nc3ccccn3s2)cc1,1,1
CC(C)(C)C(=O)Nc1ccc(-c2cn3ccsc3n2)cc1,1,1
Cc1cnc(NC(=O)COc2ccccc2Cl)s1,1,1
O=C(Nc1ccc(-c2cn3ccsc3n2)cc1)C1CC1,1,1
Cc1ccc(-c2cc(C(=O)N3CCN(c4ncccn4)CC3)c3ccccc3n2)cc1,1,1
Cc1ccc(-n2[nH]c(C)c(C=Nc3ccc(C)cn3)c2=O)cc1,1,1
CN(C)c1ccc(/C=N/n2ncc3ccccc32)cc1,1,1
Cc1csc(SCC(=O)c2cc(C)n(Cc3cccs3)c2C)n1,1,1
Cn1c(=NC(=O)c2cnccn2)sc2ccccc21,1,1
Cc1ccc(C(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)s1,1,1
CN=c1scc(C)n1/N=C/c1ccc2c(c1)OCO2,1,1
Cc1sc2ncnc(Sc3nnnn3-c3ccc(Cl)cc3)c2c1C,1,1
CCOC(=O)c1nn(-c2ccc3c(c2)CCN3C(C)=O)cc1O,1,1
CC(=O)Nc1ccc(SCC(=O)c2cc(C)n(Cc3cccs3)c2C)cc1,1,1
Cc1nnc(SCc2cnc(-c3ccc(C(C)C)cc3)s2)n1C,1,1
COc1ccc(-c2cc(C(=O)OCC(=O)N3CCCC3)c3ccccc3n2)cc1,1,1
Cc1cc(C(=O)CN2C(=O)c3ccccc3S2(=O)=O)c(C)n1CC1CCCO1,1,1
CCn1c(C)nc2cc(-c3nc4n(n3)Cc3ccccc3-4)ccc21,1,1
Cc1nc2ccc(NC(=O)Cc3cccs3)cc2s1,1,1
O=C(NC1=NCCS1)C1COc2ccccc2O1,1,1
Cc1ccsc1C(=O)OCC(=O)c1cc(C)n(CC2CCCO2)c1C,1,1
COc1cccc(C(=O)Nc2ccc(C)cc2)c1,1,1
O=c1cc(-c2ccccc2)[nH]c2nc3ccccc3n12,1,1
CN=c1scc(C)n1/N=C/c1ccc(O)cc1O,1,1
Cc1nnc(NC(=O)c2sc3ccccc3c2Cl)s1,1,1
Cc1cc(C(=O)Cn2nnc3ccccc3c2=O)c(C)n1Cc1cccs1,1,1
O=C(Nc1ccc(-c2cn3ccsc3n2)cc1)C1CCCC1,1,1
O=C1c2ccccc2NC(c2ccc3c(c2)OCCO3)N1c1ccc2c(c1)OCCO2,1,1
Cc1cc(C(=O)COC(=O)c2n[nH]c3ccccc23)c(C)n1C,1,1
Clc1ccc(-c2nnc(-c3ccccc3)o2)c(Cl)c1,1,1
O=c1c2ccccc2cnn1-c1nc2ccccc2s1,1,1
CN1CCN(C(=O)COc2ccc(-c3nc4ccccc4s3)cc2)CC1,1,1
COc1ccc(-c2nnc(SC(C)C(=O)Nc3ccc4c(c3)OCCO4)o2)cc1,1,1
O=C(Nc1ccccn1)c1ccc2ccccc2n1,1,1
COc1ccc(-c2cc(=O)c3ccccc3s2)cc1,1,1
Cc1csc(C(C#N)C(=O)c2cc3ccccc3o2)n1,1,1
O=C(NC1CC1)c1ccc(-c2nc3ccccc3s2)s1,1,1
O=C(Nc1ccc(N2CCCC2)cc1)c1cccc(F)c1,1,1
CC(C)(C)c1ccc(C(=O)/C=C2\NC(=O)CS2)cc1,1,1
COc1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1Cl,1,1
Cc1cc(C(=O)CN2C(=O)c3ccccc3S2(=O)=O)c(C)n1-c1ccccc1,1,1
Cc1ccc(-c2nnc(Nc3ccccc3)o2)cc1,1,1
CC(C)(C)NC(=O)NC(=O)COc1ccccc1C#N,1,1
Cc1cccc(NC(=O)c2cc3ccccc3o2)c1,1,1
COc1ccc(C(=O)NC(=O)Nc2cc(C)ccn2)cc1,1,1
CC(C)c1ccc(-c2nn[nH]n2)cc1,1,1
COCCn1c(C)cc(C(=O)COC(=O)c2n[nH]c3ccccc23)c1C,1,1
Cc1nn2cc(-c3ccccc3)nc2s1,1,1
Cc1cc(C(=O)CN2C(=O)C3CC=CCC3C2=O)c(C)n1-c1ccccc1,1,1
CN(C)C(=O)c1ccc(-c2nc(-n3ccnc3)c3ccccc3n2)cc1,1,1
COc1ccc2[nH]cc(CCNc3nc(-c4ccc(N(C)C)cc4)nc4ccccc34)c2c1,1,1
c1ccc(-c2ccc(N3CC4(CCNCC4)C3)cc2)cc1,1,1
COCCNc1nc(-c2ccc(N(C)C)cc2)nc2ccccc12,1,1
CN(C)c1ccc(-c2cc(N(C)Cc3ccco3)ncn2)cc1,1,1
CN(C)c1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)cc1,1,1
CN(C)c1ccc(-c2nc(-n3ccnc3)c3ccccc3n2)cc1,1,1
COc1ccc(CNc2nc(-c3ccc(N(C)C)cc3)nc3ccccc23)c(OC)c1,1,1
CN(C)c1ccc(-c2nccc(NCc3cccs3)n2)cc1,1,1
COc1cccc(-c2nccc(NCc3ccccc3)n2)c1,1,1
COc1cccc(-c2nccc(N(C)Cc3ccco3)n2)c1,1,1
Cc1cnc(CNc2nc(-c3ccc(N(C)C)cc3)nc3ccccc23)cn1,1,1
CN(C)c1ccc(-c2nc(NCCN3CCOCC3)c3ccccc3n2)cc1,1,1
CN(C)c1ccc(-c2nc(Nc3ccncc3)c3ccccc3n2)cc1,1,1
c1ccc(-c2ccc(N3CCCC4(CCNCC4)C3)cc2)cc1,1,1
O=c1c(CCc2ccccc2)nc2cnc(N3CCNCC3)nc2n1CCc1ccccc1,1,1
c1csc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,1,1
CNc1nc(-c2ccc(N(C)C)cc2)nc2ccccc12,1,1
CN(C)c1ccc(-c2nc(NCCc3cnc[nH]3)c3ccccc3n2)cc1,1,1
CN(C)c1ccc(-c2nc(N3CCNCC3)c3ccccc3n2)cc1,1,1
O=C1CC(c2ccc3c(c2)OCO3)Sc2nc3ccccc3n21,1,1
CN(C)c1ccc(-c2nc3ccccc3n2C)cc1,1,1
O=C(Nc1ccc2c(c1)OCO2)c1noc2c1CCCCC2,1,1
COc1ccc2sc(NC(=O)c3ccco3)nc2c1,1,1
Cc1ccc2cc3cc(C(=O)N4CCCCCC4)oc3nc2c1,1,1
COc1ccc(-n2nc(C(=O)NCC(=O)N3CCN(c4ccccn4)CC3)c3ccccc3c2=O)cc1,1,1
CCOc1ccc(-c2cc(C(=O)NCCCN3CCN(CC)CC3)c3ccccc3n2)cc1,1,1
CCCCOc1ccc(C(=O)Nc2cccc(C)n2)cc1,1,1
CCOC(=O)N1CCN(C(=O)c2cc(-c3ccc(OCC)cc3)nc3ccccc23)CC1,1,1
Fc1ccc(-c2nnc(NC3=NCCCCC3)o2)cc1,1,1
COc1ccc(OCc2cccc(C(=O)O)c2)cc1,1,1
CCOc1ccc(NC(=O)c2nccnc2CO)cc1,1,1
O=C(Nc1nsc(-c2ccccc2)n1)c1cccs1,1,1
COc1ccc2nc(N3CCCC(C(=O)NCCCN4CCN(C)CC4)C3)sc2c1,1,1
COc1ccc2c(c1OC)C(=O)N1c3ccccc3COC21,1,1
O=S1(=O)C=C(Sc2nc3cc(Cl)ccc3o2)c2ccccc21,1,1
Cc1nn(-c2ccc(C(=O)O)cc2)c(N)c1-c1ccccc1,1,1
COc1cccc2sc(N(C)c3ccccc3)nc12,1,1
c1c2c(cc3sc(N4CCCCC4)nc13)OCCO2,1,1
Cc1cc(NC(=O)CSc2nnc(-c3ccc4c(c3)OCCO4)o2)no1,1,1
O=C(c1cc(-c2ccc(F)cc2)on1)N1CCCC1,1,1
COc1cccc(NC(=O)c2oc3ccccc3c2NC(=O)c2ccc3c(c2)OCO3)c1,1,1
CC(=O)c1ccc(NC(=O)c2ccn[nH]2)cc1,1,1
Cc1ccccc1NC(=O)c1cnc2ccccn2c1=O,1,1
CCN(CCNC(=O)C1CCN(Cc2nc(-c3cccc(Cl)c3)oc2C)CC1)c1ccccc1,1,1
CCOc1ccc(-c2cc(C(=O)N3CCN(C)CC3)c3ccccc3n2)cc1,1,1
O=C(c1cc(-c2ccc(Cl)cc2)on1)N1CCOCC1,1,1
COc1ccc(/C=N\n2nnc3ccccc32)cc1,1,1
COc1ccc(-n2ncc3c(N4CCCc5ccccc54)ncnc32)cc1,1,1
